mu1,mu2,mu3,s1,s2,s3,s4,s5,s6,s7,s8,s9,a1,b1,a2,b2,a3,b3
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,103.153,651.319,74.4511,640.431
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.936,656.924,82.129,672.643
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.8,656.499,79.8489,663.24
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.4513,642.448,75.62,645.438
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.9241,644.163,79.2054,660.562
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,58.8461,753.944,78.6901,774.192
0.129312,0.16637,0.134996,0.00020209,-1.57045e-05,-1.67549e-05,-1.57045e-05,0.000261379,-1.59757e-05,-1.67549e-05,-1.59757e-05,0.00020827,82.7438,639.876,106.098,638.609,89.9494,661.221
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.3226,641.981,78.1651,656.21
0.0889087,0.0847964,0.070318,0.000132142,-2.96607e-05,-5.83183e-06,-2.96607e-05,0.000127235,-3.85111e-06,-5.83183e-06,-3.85111e-06,0.000116118,59.82,672.825,60.4227,707.892,43.4357,612.871
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.632,655.971,80.2788,665.023
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,55.0082,728.944,77.2371,767.011
0.16637,0.129312,0.134996,0.000261379,-1.57045e-05,-1.59757e-05,-1.57045e-05,0.00020209,-1.67549e-05,-1.59757e-05,-1.67549e-05,0.00020827,105.896,636.508,80.6141,633.067,89.0085,657.754
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,102.941,650.649,74.7575,641.747
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,87.4404,638.767,76.2594,648.161
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.761,656.376,80.2056,664.72
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,77.0424,768.283,76.3917,762.802
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,58.3132,750.522,77.7318,769.464
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,103.566,652.622,75.08,643.13
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,79.0538,778.247,79.4863,778.099
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.6298,643.096,79.5238,661.889
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.228,654.705,76.1105,647.528
