n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.11765346,5,6,0.025186389,3,5,0.064861294,4,5,0.098279411,1,6,0.11248423,-3361.7026,8.3692958,-2.884323,-3350.449
2,6,0.11899508,5,6,0.03666232,3,5,0.086169838,4,5,0.082190311,1,6,0.11082176,-3360.2453,8.6967862,-0.55642139,-3350.9921
2,6,0.12889989,5,6,0.062333688,3,5,0.062101621,4,5,0.076390254,1,6,0.10520625,-3374.7277,8.6986341,-1.391765,-3364.6373
2,6,0.098729583,5,6,0.031316907,3,5,0.10036345,4,5,0.10449217,1,6,0.11536421,-3356.5763,9.0053262,-2.4605393,-3345.1104
2,6,0.10415568,5,6,0.035304369,3,5,0.096847778,4,5,0.084060887,1,6,0.11498384,-3356.7913,8.7070512,-1.3752916,-3346.709
2,6,0.0963692,5,6,0.041640026,3,5,0.088286481,4,5,0.09860388,1,6,0.12587522,-3355.5212,9.0154961,-1.9289412,-3344.5767
2,6,0.12336032,5,6,0.064486878,3,5,0.085854717,4,5,0.10335263,1,6,0.11117642,-3369.831,9.7646194,-1.0296972,-3359.0366
2,6,0.11816628,5,6,0.047923016,3,5,0.099685015,4,5,0.09126851,1,6,0.1039566,-3363.5276,9.2199883,-0.075444717,-3354.2322
2,6,0.11531263,5,6,0.039557875,3,5,0.085638137,4,5,0.10544527,1,6,0.13066276,-3360.4609,9.5323335,-0.93958777,-3349.989
2,6,0.11374728,5,6,0.041610653,3,5,0.096272475,4,5,0.072857413,1,6,0.080899441,-3367.2916,8.1077452,-0.38715655,-3358.7967
2,6,0.12178791,5,6,0.042692584,3,5,0.095786319,4,5,0.095312153,1,6,0.093530298,-3364.5605,8.9821852,-0.13939551,-3355.4389
2,6,0.11427279,5,6,0.03651951,3,5,0.08757061,4,5,0.082121745,1,6,0.12060988,-3358.803,8.8218907,-0.97400406,-3349.0071
2,6,0.1143601,5,6,0.042476594,3,5,0.10247578,4,5,0.071651346,1,6,0.081505556,-3368.3857,8.2493876,-0.41681944,-3359.7195
2,6,0.10235381,5,6,0.041631614,3,5,0.088432184,4,5,0.10043418,1,6,0.11904781,-3356.602,9.0379919,-1.0359358,-3346.528
2,6,0.12755339,5,6,0.049041903,3,5,0.085630447,4,5,0.084923111,1,6,0.10571398,-3365.5373,9.0572565,-0.53372937,-3355.9463
2,6,0.11208542,5,6,0.054063585,3,5,0.099562188,4,5,0.099335413,1,6,0.11892425,-3363.6534,9.6794171,-0.046158789,-3353.9278
2,6,0.13154618,5,6,0.040405056,3,5,0.099270733,4,5,0.082814962,1,6,0.1090538,-3366.0145,9.2618147,-1.0059792,-3355.7467
2,6,0.11629262,5,6,0.02550548,3,5,0.075627036,4,5,0.071167406,1,6,0.12137831,-3361.9701,8.1994171,-3.3879314,-3350.3827
2,6,0.12269804,5,6,0.033888726,3,5,0.096240248,4,5,0.1114311,1,6,0.087246988,-3367.2259,9.0301021,-0.060317325,-3358.1354
2,6,0.090022861,5,6,0.0581896,3,5,0.097091566,4,5,0.088505734,1,6,0.11900863,-3359.5607,9.0563679,-2.1733546,-3348.3309
2,6,0.11917144,5,6,0.04239386,3,5,0.073780747,4,5,0.076346381,1,6,0.09936805,-3363.7472,8.2212096,-0.022591518,-3355.5034
2,6,0.11151994,5,6,0.054759788,3,5,0.081412128,4,5,0.087644439,1,6,0.10434872,-3362.2402,8.7937002,-0.34736844,-3353.0991
2,6,0.11363456,5,6,0.077232174,3,5,0.079139961,4,5,0.10598361,1,6,0.080671607,-3377.4063,9.1332382,-6.2741433,-3361.9989
2,6,0.11199416,5,6,0.053893546,3,5,0.097823338,4,5,0.071699492,1,6,0.1057364,-3364.8426,8.8229389,-0.22751623,-3355.7921
2,6,0.10085122,5,6,0.037200187,3,5,0.083906395,4,5,0.083684579,1,6,0.13802365,-3356.729,8.8733206,-2.4861254,-3345.3696
2,6,0.11630261,5,6,0.035938424,3,5,0.09453731,4,5,0.095352651,1,6,0.11298076,-3359.5341,9.1022352,-0.5967766,-3349.835
2,6,0.11745347,5,6,0.044208037,3,5,0.092336561,4,5,0.085957614,1,6,0.11216867,-3361.09,9.042487,-0.076126936,-3351.9713
2,6,0.13142294,5,6,0.044931569,3,5,0.068332194,4,5,0.098135789,1,6,0.12749007,-3367.1278,9.4062513,-1.320341,-3356.4012
2,6,0.10656257,5,6,0.051887359,3,5,0.094096218,4,5,0.099750221,1,6,0.096922093,-3362.1216,8.9843692,-0.8040693,-3352.3331
2,6,0.11206735,5,6,0.050999767,3,5,0.076933694,4,5,0.090733583,1,6,0.1172494,-3360.8649,8.959676,-0.044246822,-3351.8609
2,6,0.1334905,5,6,0.044765829,3,5,0.073288871,4,5,0.091465172,1,6,0.081411225,-3371.9931,8.4884319,-1.3767224,-3362.1279
2,6,0.13296446,5,6,0.039773016,3,5,0.078949893,4,5,0.10265465,1,6,0.11973012,-3365.4138,9.4814428,-1.503695,-3354.4286
2,6,0.11741292,5,6,0.032134937,3,5,0.094007941,4,5,0.086904611,1,6,0.10495482,-3360.0567,8.7083047,-0.73497811,-3350.6134
2,6,0.12985507,5,6,0.036727791,3,5,0.078983939,4,5,0.095135591,1,6,0.1302015,-3363.827,9.4180778,-2.0257221,-3352.3832
