t logl dlogl ddlogl
0.611 -23.8183 -4.13172 3.66561
0.612 -23.8225 -4.12805 3.6618
0.613 -23.8266 -4.12439 3.658
0.614 -23.8307 -4.12074 3.6542
0.615 -23.8348 -4.11709 3.6504
0.616 -23.8389 -4.11344 3.6466
0.617 -23.843 -4.10979 3.6428
0.618 -23.8472 -4.10615 3.63899
0.619 -23.8513 -4.10252 3.63519
0.62 -23.8554 -4.09888 3.63139
0.621 -23.8595 -4.09525 3.62759
0.622 -23.8635 -4.09163 3.62379
0.623 -23.8676 -4.08801 3.61999
0.624 -23.8717 -4.08439 3.61618
0.625 -23.8758 -4.08077 3.61238
0.626 -23.8799 -4.07716 3.60858
0.627 -23.884 -4.07356 3.60478
0.628 -23.888 -4.06995 3.60098
0.629 -23.8921 -4.06635 3.59718
0.63 -23.8962 -4.06276 3.59338
0.631 -23.9002 -4.05917 3.58958
0.632 -23.9043 -4.05558 3.58578
0.633 -23.9083 -4.052 3.58198
0.634 -23.9124 -4.04842 3.57818
0.635 -23.9164 -4.04484 3.57438
0.636 -23.9205 -4.04127 3.57058
0.637 -23.9245 -4.0377 3.56678
0.638 -23.9286 -4.03413 3.56298
0.639 -23.9326 -4.03057 3.55918
0.64 -23.9366 -4.02701 3.55538
0.641 -23.9406 -4.02346 3.55159
0.642 -23.9447 -4.01991 3.54779
0.643 -23.9487 -4.01637 3.54399
0.644 -23.9527 -4.01282 3.5402
0.645 -23.9567 -4.00929 3.5364
0.646 -23.9607 -4.00575 3.53261
0.647 -23.9647 -4.00222 3.52881
0.648 -23.9687 -3.99869 3.52502
0.649 -23.9727 -3.99517 3.52123
0.65 -23.9767 -3.99165 3.51743
0.651 -23.9807 -3.98813 3.51364
0.652 -23.9847 -3.98462 3.50985
0.653 -23.9887 -3.98112 3.50606
0.654 -23.9926 -3.97761 3.50227
0.655 -23.9966 -3.97411 3.49848
0.656 -24.0006 -3.97061 3.49469
0.657 -24.0046 -3.96712 3.4909
0.658 -24.0085 -3.96363 3.48712
0.659 -24.0125 -3.96015 3.48333
0.66 -24.0164 -3.95667 3.47954
0.661 -24.0204 -3.95319 3.47576
0.662 -24.0244 -3.94971 3.47197
0.663 -24.0283 -3.94624 3.46819
0.664 -24.0322 -3.94278 3.46441
0.665 -24.0362 -3.93932 3.46062
0.666 -24.0401 -3.93586 3.45684
0.667 -24.0441 -3.9324 3.45306
